Trainer ID,Trainer Name,Pokemon Held,AI Difficulty,Poke1,Poke2,Poke3,Poke4,Poke5,Poke6
86,Beauty,1,1,Rattata,,,,,
87,Collector,1,1,Rattata,,,,,
88,Policeman Bobby,2,1,Hoothoot,Machop,,,,
89,Policeman Alex,2,1,Hoothoot,Machop,,,,
90,Policeman Dylan,2,1,Hoothoot,Machop,,,,
91,Fisherman Juan,1,1,Gyarados,,,,,
92,Fisherman Josh,2,1,Goldeen,Goldeen,,,,
93,Fisherman Travis,4,1,Barboach,Barboach,Gyarados,Barboach,,
94,Pokemon Ranger Taylor,2,7,Carnivine,Luxio,,,,
95,Pokemon Ranger Jeffery,1,7,Monferno,,,,,
96,Pokemon Ranger Allison,2,7,Marill,Leafeon,,,,
97,Pokemon Ranger,1,1,Rattata,,,,,
98,Scientist,1,1,Rattata,,,,,
99,Scientist Stefano,1,5,Kadabra,,,,,
100,Youngster,1,1,Rattata,,,,,
101,Youngster,1,1,Rattata,,,,,
102,Policeman Caleb,2,1,Hoothoot,Machop,,,,
103,Swimmer Sheltin,3,1,Gyarados,Gyarados,Gyarados,,,
104,Swimmer Evan,2,1,Golduck,Golduck,,,,
105,Swimmer Haley,2,1,Psyduck,Azumarill,,,,
106,Swimmer Mary,2,1,Finneon,Pelipper,,,,
107,Tuber Jared,3,1,Shellos,Shellos,Shellos,,,
108,Tuber Chelsea,1,1,Marill,,,,,
109,Battle Girl,1,1,Rattata,,,,,
110,Sailor Paul,3,1,Tentacool,Pelipper,Machoke,,,
111,Fisherman Kenneth,3,1,Remoraid,Remoraid,Gyarados,,,
112,Sis and Bro,2,1,Rattata,Rattata,,,,
113,Ruin Maniac Bryan,2,7,Bronzor,Cranidos,,,,
114,Ruin Maniac Ronald,1,7,Shieldon,,,,,
115,Hiker,1,1,Rattata,,,,,
116,Veteran,1,1,Rattata,,,,,
117,Camper,1,1,Rattata,,,,,
118,Picnicker,1,1,Rattata,,,,,
119,Psychic Mitchell,2,5,Duskull,Kadabra,,,,
120,Psychic Abigail,3,5,Chingling,Drifloon,Kirlia,,,
121,PI Carlos,1,17,Goldeen,,,,,
122,Guitarist,1,1,Rattata,,,,,
123,PI,1,1,Rattata,,,,,
124,Beauty,1,1,Rattata,,,,,
125,Beauty,1,1,Rattata,,,,,
126,Black Belt,1,1,Rattata,,,,,
127,Black Belt Gregory,3,33,Machop,Machop,Machop,,,
128,Black Belt Derek,1,33,Croagunk,,,,,
129,Black Belt Nathaniel,3,33,Croagunk,Meditite,Machop,,,
130,Jogger Scott,1,1,Staravia,,,,,
131,Bird Keeper,1,1,Rattata,,,,,
132,Ace Trainer Blake,2,7,Ambipom,Porygon2,,,,
133,Ace Trainer Garrett,3,7,Mr.Mime,Dusclops,Scyther,,,
134,Ace Trainer Laura,1,7,Tropius,,,,,
135,Ace Trainer Maria,3,7,Golduck,Rapidash,Sudowoodo,,,
136,Skier Bradley,3,1,Snorunt,Swinub,Snover,,,
137,Skier Edward,1,1,Sneasel,,,,,
138,Skier Kaitlyn,2,1,Swinub,Snover,,,,
139,Skier Andrea,1,1,Snover,,,,,
140,Ace Trainer Dalton,2,7,Electabuzz,Magmar,,,,
141,Ace Trainer Olivia,3,7,Kirlia,Seaking,Buneary,,,
142,Skier Shawn,3,1,Snover,Snover,Snover,,,
143,Skier Bjorn,2,1,Swinub,Sneasel,,,,
144,Skier Lexie,2,1,Piloswine,Glaceon,,,,
145,Skier Madison,1,1,Snorunt,,,,,
146,Ninja Boy Matthew,1,1,Golbat,,,,,
147,Ninja Boy Ethan,2,1,Skorupi,Golbat,,,,
148,Black Belt Luke,3,33,Croagunk,Riolu,Machoke,,,
149,Swimmer,1,1,Rattata,,,,,
150,Swimmer,1,1,Rattata,,,,,
151,Swimmer,1,1,Rattata,,,,,
152,Swimmer,1,1,Rattata,,,,,
153,Fisherman Miguel,2,1,Gyarados,Gyarados,,,,
154,Fisherman Luc,5,1,Remoraid,Remoraid,Remoraid,Gyarados,Remoraid,
155,Sis and Bro,2,1,Rattata,Rattata,,,,
156,Swimmer,1,1,Rattata,,,,,
157,Swimmer,1,1,Rattata,,,,,
158,Swimmer,1,1,Rattata,,,,,
159,Swimmer Adrian,3,1,Remoraid,Tentacool,Octillery,,,
160,Swimmer Erik,1,1,Tentacruel,,,,,
161,Swimmer Vincent,2,1,Pelipper,Gastrodon,,,,
162,Swimmer Jessica,4,1,Goldeen,Goldeen,Goldeen,Seaking,,
163,Swimmer Erica,1,1,Finneon,,,,,
164,Swimmer Katelyn,3,1,Buizel,Medicham,Seaking,,,
165,Sis and Bro,2,1,Rattata,Rattata,,,,
166,Swimmer Dillon,2,1,Remoraid,Floatzel,,,,
167,Swimmer Vanessa,1,1,Golduck,,,,,
168,Fisherman Cory,3,1,Finneon,Finneon,Finneon,,,
169,Ruin Maniac,1,1,Rattata,,,,,
170,Ace Trainer Jake,2,7,Staraptor,Girafarig,,,,
171,Ace Trainer Shannon,3,7,Cherrim,Azumarill,Lopunny,,,
172,Fisherman Brett,3,1,Magikarp,Finneon,Feebas,,,
173,Fisherman Alec,2,1,Magikarp,Gyarados,,,,
174,Fisherman George,4,1,Magikarp,Finneon,Remoraid,Gyarados,,
175,Fisherman Cole,3,1,Gyarados,Remoraid,Gyarados,,,
176,Roughneck,1,1,Rattata,,,,,
177,Roughneck,1,1,Rattata,,,,,
178,Guitarist,1,1,Rattata,,,,,
179,Clown,1,1,Rattata,,,,,
180,Sailor Luther,3,1,Wingull,Machoke,Gastrodon,,,
181,Artist,1,1,Rattata,,,,,
182,Young Couple,2,1,Rattata,Rattata,,,,
183,Swimmer Wesley,2,1,Floatzel,Tentacruel,,,,
184,Swimmer Ricardo,1,1,Tentacruel,,,,,
185,Swimmer Francisco,2,1,Tentacool,Golduck,,,,
186,Swimmer Colton,3,1,Wingull,Octillery,Pelipper,,,
187,Swimmer Troy,1,1,Gyarados,,,,,
188,Swimmer Oscar,3,1,Mantyke,Remoraid,Mantine,,,
189,Swimmer Miranda,1,1,Lumineon,,,,,
190,Swimmer Aubree,2,1,Bibarel,Azumarill,,,,
191,Swimmer Paige,3,1,Marill,Wingull,Golduck,,,
192,Swimmer Crystal,2,1,Wingull,Seaking,,,,
193,Swimmer Cassandra,2,1,Lumineon,Pelipper,,,,
194,Swimmer Gabrielle,1,1,Golduck,,,,,
195,Worker Colin,2,1,Geodude,Machop,,,,
196,Worker Mason,1,1,Geodude,,,,,
197,Worker,1,1,Rattata,,,,,
198,Scientist,1,1,Rattata,,,,,
199,Scientist,1,1,Rattata,,,,,
200,Scientist,1,1,Rattata,,,,,
201,Bug Catcher Jack,3,1,Wurmple,Silcoon,Beautifly,,,
202,Bug Catcher Philip,3,1,Wurmple,Cascoon,Dustox,,,
203,Bug Catcher Donald,2,1,Burmy,Burmy,,,,
204,Lass Briana,1,1,Pachirisu,,,,,
205,Psychic Elijah,1,5,Abra,,,,,
206,Psychic Lindsey,1,5,Abra,,,,,
207,Young Couple,2,1,Rattata,Rattata,,,,
208,Worker,1,1,Rattata,,,,,
209,Worker,1,1,Rattata,,,,,
210,Worker,1,1,Rattata,,,,,
211,Ace Trainer,1,1,Rattata,,,,,
212,Ace Trainer,1,1,Rattata,,,,,
213,Ace Trainer,1,1,Rattata,,,,,
214,Ace Trainer,1,1,Rattata,,,,,
215,Veteran,1,1,Rattata,,,,,
216,Veteran,1,1,Rattata,,,,,
217,Psychic,1,1,Rattata,,,,,
218,Psychic,1,1,Rattata,,,,,
219,Dragon Tamer,1,1,Rattata,,,,,
220,Sailor,1,1,Rattata,,,,,
221,School Kid,1,1,Rattata,,,,,
222,School Kid,1,1,Rattata,,,,,
223,Young Couple,2,1,Rattata,Rattata,,,,
224,Ace Trainer Omar,3,7,Mamoswine,Mothim,Rampardos,,,
225,Ace Trainer Henry,2,7,Rhydon,Carnivine,,,,
226,Ace Trainer Mariah,3,7,Blissey,Glalie,Magnezone,,,
227,Ace Trainer Sydney,2,7,Clefable,Torterra,,,,
228,Veteran Edgar,3,7,Porygon-Z,Tangrowth,Empoleon,,,
229,Veteran Clayton,2,7,Staraptor,Lickilicky,,,,
230,Dragon Tamer Ondrej,2,7,Altaria,Gabite,,,,
231,Dragon Tamer Clinton,3,7,Gible,Swablu,Gabite,,,
232,Black Belt David,2,33,Steelix,Steelix,,,,
233,Bird Keeper Hana,2,1,Noctowl,Togetic,,,,
234,Psychic Bryce,3,5,Haunter,Gardevoir,Gengar,,,
235,Psychic Valencia,3,5,Chimecho,Absol,Dusknoir,,,
236,Double Team Jo & Pat,2,1,Lumineon,Rapidash,,,,
237,Double Team Al & Kay,2,1,Staraptor,Ambipom,,,,
238,Youngster,1,1,Rattata,,,,,
239,Lass,1,1,Rattata,,,,,
240,Veteran Grant,3,7,Riolu,Staraptor,Graveler,,,
241,Fisherman,1,1,Rattata,,,,,
242,Sailor,1,1,Rattata,,,,,
243,Beauty,1,1,Rattata,,,,,
244,Youngster Jonathon,1,1,Geodude,,,,,
245,Youngster Darius,2,1,Geodude,Onix,,,,
246,Leader Roark,3,7,Geodude,Onix,Cranidos,,,
247,Rival,2,35,Starly,Turtwig,,,,
248,Rival,2,35,Starly,Chimchar,,,,
249,Rival,2,35,Starly,Piplup,,,,
250,Leader Byron,3,7,Magneton,Steelix,Bastiodon,,,
251,Ace Trainer,1,1,Rattata,,,,,
252,Camper,1,1,Rattata,,,,,
253,Camper,1,1,Rattata,,,,,
254,Camper,1,1,Rattata,,,,,
255,Camper,1,1,Rattata,,,,,
256,Worker Jackson,3,1,Magnemite,Magnemite,Magnemite,,,
257,Worker Gary,1,1,Magnemite,,,,,
258,Black Belt Philip,1,33,Machoke,,,,,
259,Aroma Lady Jenna,3,5,Budew,Budew,Budew,,,
260,Aroma Lady Angela,1,5,Roselia,,,,,
261,Elite Four Aaron,5,7,Yanmega,Scizor,Vespiquen,Heracross,Drapion,
262,Elite Four Bertha,5,7,Whiscash,Gliscor,Hippowdon,Golem,Rhyperior,
263,Elite Four Flint,5,7,Houndoom,Flareon,Rapidash,Infernape,Magmortar,
264,Elite Four Lucian,5,15,Mr.Mime,Espeon,Bronzong,Alakazam,Gallade,
265,Camper Curtis,2,7,Starly,Shinx,,,,
266,Camper,3,7,Gastly,Gastly,Gastly,,,
267,Champion Cynthia,6,7,Spiritomb,Roserade,Togekiss,Lucario,Milotic,Garchomp
268,Ace Trainer Sergio,2,7,Snover,Sneasel,,,,
269,Ace Trainer Isaiah,1,7,Piloswine,,,,,
270,Ace Trainer Savannah,3,7,Snorunt,Snorunt,Glalie,,,
271,Ace Trainer Alicia,2,7,Sneasel,Sneasel,,,,
272,Collector Douglas,3,1,Jolteon,Vaporeon,Flareon,,,
273,Collector Brady,6,1,Skorupi,Tangela,Yanma,Carnivine,Croagunk,Tropius
274,Collector Ivan,1,1,Togetic,,,,,
275,Collector Fernando,1,1,Heracross,,,,,
276,Collector Edwin,1,1,Munchlax,,,,,
277,Dragon Tamer Hayden,2,7,Altaria,Seadra,,,,
278,Ace Trainer Dennis,3,7,Gligar,Buizel,Drifblim,,,
279,Ace Trainer Cesar,1,7,Scizor,,,,,
280,Ace Trainer Allen,3,7,Gastly,Gastly,Haunter,,,
281,Ace Trainer Zachery,2,7,Electabuzz,Magneton,,,,
282,Ace Trainer Ruben,2,7,Nuzleaf,Gyarados,,,,
283,Ace Trainer Breanna,3,7,Bronzor,Bronzor,Bronzor,,,
284,Ace Trainer Catherine,2,7,Haunter,Misdreavus,,,,
285,Ace Trainer Destiny,2,7,Electabuzz,Raichu,,,,
286,Ace Trainer Jamie,1,7,Metagross,,,,,
287,Ace Trainer Maya,3,7,Roselia,Ralts,Lickitung,,,
288,Psychic Maxwell,2,5,Misdreavus,Haunter,,,,
289,Psychic Brittney,2,5,Drowzee,Alakazam,,,,
290,Belle & Pa Ava & Matt,2,1,Ponyta,Rapidash,,,,
291,Rancher,1,1,Rattata,,,,,
292,Rancher Marco,1,1,Ponyta,,,,,
293,Fisherman Erick,3,1,Goldeen,Seaking,Gyarados,,,
294,Twins Emma & Lil,2,1,Bonsly,MimeJr.,,,,
295,Commander Mars,2,7,Zubat,Purugly,,,,
296,Galactic Grunt,1,1,Stunky,,,,,
297,Galactic Grunt,2,1,Zubat,Zubat,,,,
298,Galactic Grunt,1,1,Zubat,,,,,
299,Galactic Grunt,2,1,Glameow,Stunky,,,,
300,Guitarist Tony,2,1,Kricketune,Magnemite,,,,
301,Guitarist Jerry,3,1,Magnemite,Luxio,Luxio,,,
302,Guitarist Preston,2,1,Luxio,Luxio,,,,
303,Guitarist Lonnie,1,1,Raichu,,,,,
304,Ruin Maniac Calvin,2,7,Bronzor,Shieldon,,,,
305,Ruin Maniac Larry,1,7,Aerodactyl,,,,,
306,Jogger Wyatt,1,1,Pikachu,,,,,
307,Jogger Craig,2,1,Luxio,Luxio,,,,
308,Jogger Raul,1,1,Staravia,,,,,
309,Black Belt Colby,3,33,Machoke,Machoke,Machoke,,,
310,Black Belt Darren,3,33,Machop,Meditite,Machoke,,,
311,Black Belt Rafael,2,33,Croagunk,Machoke,,,,
312,Black Belt Jeffery,1,33,Heracross,,,,,
313,Black Belt Carl,2,33,Tyrogue,Hitmonlee,,,,
314,Black Belt Ricky,1,33,Steelix,,,,,
315,Leader Gardenia,3,7,Turtwig,Cherrim,Roserade,,,
316,Leader Wake,3,7,Gyarados,Quagsire,Floatzel,,,
317,Leader Maylene,3,7,Meditite,Machoke,Lucario,,,
318,Leader Fantina,3,7,Duskull,Haunter,Mismagius,,,
319,Leader Candice,4,7,Sneasel,Piloswine,Abomasnow,Froslass,,
320,Leader Volkner,4,7,Jolteon,Raichu,Luxray,Electivire,,
321,Lass,1,1,Rattata,,,,,
322,Lass Madeline,1,5,Psyduck,,,,,
323,Lass Kaitlin,4,5,Bidoof,Budew,Starly,Abra,,
324,Lass Caroline,2,1,Cherubi,Roselia,,,,
325,Lass Molly,1,1,Misdreavus,,,,,
326,Hiker Louis,2,33,Geodude,Onix,,,,
327,Parasol Lady Alexa,2,1,Goldeen,Bibarel,,,,
328,Parasol Lady Sabrina,2,1,Wooper,Quagsire,,,,
329,Picnicker Diana,1,7,Bidoof,,,,,
330,Picnicker,2,7,Drifloon,Misdreavus,,,,
331,Poke Kid Meghan,4,1,Pikachu,Pikachu,Pikachu,Pikachu,,
332,Policeman Danny,2,1,Hoothoot,Machop,,,,
333,Policeman Thomas,2,1,Noctowl,Machoke,,,,
334,Rich Boy,1,1,Rattata,,,,,
335,Rich Boy Trey,1,1,Luxray,,,,,
336,Lady,1,1,Rattata,,,,,
337,Sailor Marc,1,1,Mantyke,,,,,
338,Sailor Skyler,2,1,Mantyke,Machoke,,,,
339,Sailor Damian,2,1,Wingull,Pelipper,,,,
340,School Kid Chance,1,5,Gastly,,,,,
341,School Kid Forrest,1,5,Magneton,,,,,
342,School Kid Harrison,1,5,Starly,,,,,
343,School Kid Mackenzie,2,5,Drifloon,Drifloon,,,,
344,School Kid Tiera,1,5,Pachirisu,,,,,
345,School Kid Christine,1,5,Bidoof,,,,,
346,Beauty Cyndy,1,1,Glameow,,,,,
347,Beauty,1,1,Rattata,,,,,
348,Beauty,1,1,Roselia,,,,,
349,Skier,1,1,Rattata,,,,,
350,Skier,1,1,Rattata,,,,,
351,Swimmer,1,1,Rattata,,,,,
352,Swimmer,1,1,Rattata,,,,,
353,Swimmer,1,1,Rattata,,,,,
354,Swimmer,1,1,Rattata,,,,,
355,Youngster Dallas,1,1,Shinx,,,,,
356,Youngster Sebastian,1,1,Machop,,,,,
357,Youngster Donny,2,1,Gastly,Drifloon,,,,
358,Tuber Trenton,2,1,Shellos,Shellos,,,,
359,Tuber Conner,1,1,Remoraid,,,,,
360,Tuber Mariel,2,1,Marill,Marill,,,,
361,Tuber Holly,1,1,Remoraid,,,,,
362,Veteran Armando,3,7,Muk,Mightyena,Lickitung,,,
363,Waiter,1,1,Rattata,,,,,
364,Waiter,1,1,Rattata,,,,,
365,Waiter,1,1,Rattata,,,,,
366,Waitress Kati,1,1,Clefairy,,,,,
367,Worker Gerardo,2,1,Magnemite,Magnemite,,,,
368,Interviewers Roxy & Oli,2,1,Magnemite,Ralts,,,,
369,Cameraman Tevin,1,1,Machop,,,,,
370,Reporter Kinsey,1,1,Shinx,,,,,
371,Idol Grace,1,1,Clefairy,,,,,
372,Battle Girl Tyler,1,33,Medicham,,,,,
373,Bird Keeper Autumn,2,1,Murkrow,Xatu,,,,
374,Pokemon Breeder,1,1,Rattata,,,,,
375,Pokemon Breeder,1,1,Rattata,,,,,
376,Cameraman,1,1,Rattata,,,,,
377,Camper Zackary,1,7,Aipom,,,,,
378,Camper Lawrence,2,7,Aipom,Floatzel,,,,
379,Camper Diego,1,7,Aipom,,,,,
380,Camper Parker,2,7,Buizel,Shinx,,,,
381,Collector Dean,2,1,Umbreon,Espeon,,,,
382,Collector Jamal,1,1,Porygon,,,,,
383,Collector Terry,1,1,Gible,,,,,
384,Pokefan,1,1,Rattata,,,,,
385,Pokefan,1,1,Rattata,,,,,
386,Dragon Tamer Joe,2,7,Dratini,Gabite,,,,
387,Ace Trainer,1,1,Rattata,,,,,
388,Ace Trainer Jonah,3,7,Quagsire,Staraptor,Hippopotas,,,
389,Ace Trainer Micah,2,7,Metang,Ludicolo,,,,
390,Ace Trainer Arthur,3,7,Gastrodon,Beedrill,Electrode,,,
391,Ace Trainer,1,1,Rattata,,,,,
392,Ace Trainer Brenda,3,7,Lopunny,Kirlia,Medicham,,,
393,Ace Trainer Brandi,2,7,Marowak,Kangaskhan,,,,
394,Ace Trainer Clarice,3,7,Swalot,Ninetales,Magnezone,,,
395,Psychic Kody,1,5,Meditite,,,,,
396,Psychic Landon,2,5,Shuppet,Alakazam,,,,
397,Psychic Deandre,1,5,Dusknoir,,,,,
398,Psychic Rachael,1,5,Psyduck,,,,,
399,Psychic Desiree,2,5,Mr.Mime,Mismagius,,,,
400,Psychic Kendra,3,5,Chimecho,Haunter,Gengar,,,
401,Fisherman Walter,1,1,Whiscash,,,,,
402,Gentleman,1,1,Rattata,,,,,
403,Galactic Boss Cyrus,3,7,Sneasel,Crobat,Honchkrow,,,
404,Galactic Boss Cyrus,5,7,Houndoom,Honchkrow,Crobat,Gyarados,Weavile,
405,Commander Mars,3,7,Golbat,Bronzor,Purugly,,,
406,Commander Jupiter,2,7,Zubat,Skuntank,,,,
407,Commander Jupiter,3,15,Bronzor,Golbat,Skuntank,,,
408,Commander Saturn,3,7,Golbat,Bronzor,Toxicroak,,,
409,Commander Saturn,3,7,Golbat,Bronzor,Toxicroak,,,
410,Galactic Grunt,2,1,Zubat,Stunky,,,,
411,Galactic Grunt,1,1,Rattata,,,,,
412,Galactic Grunt,1,1,Croagunk,,,,,
413,Galactic Grunt,1,1,Rattata,,,,,
414,Galactic Grunt,1,1,Stunky,,,,,
415,Galactic Grunt,1,1,Glameow,,,,,
416,Galactic Grunt,2,1,Houndour,Golbat,,,,
417,Galactic Grunt,1,1,Golbat,,,,,
418,Galactic Grunt,4,1,Croagunk,Glameow,Stunky,Houndour,,
419,Galactic Grunt,1,1,Croagunk,,,,,
420,Galactic Grunt,2,1,Stunky,Houndour,,,,
421,Galactic Grunt,2,1,Zubat,Glameow,,,,
422,Galactic Grunt,1,1,Glameow,,,,,
423,Galactic Grunt,3,1,Stunky,Croagunk,Glameow,,,
424,Galactic Grunt,1,1,Rattata,,,,,
425,Galactic Grunt,2,1,Glameow,Murkrow,,,,
426,Galactic Grunt,3,1,Glameow,Golbat,Murkrow,,,
427,Galactic Grunt,2,1,Houndour,Glameow,,,,
428,Galactic Grunt,1,1,Glameow,,,,,
429,Galactic Grunt,1,1,Rattata,,,,,
430,Galactic Grunt,2,1,Golbat,Houndour,,,,
431,Guitarist Arturo,1,1,Kricketot,,,,,
432,Guitarist,1,1,Rattata,,,,,
433,Guitarist,1,1,Rattata,,,,,
434,Guitarist,1,1,Rattata,,,,,
435,Guitarist,1,1,Rattata,,,,,
436,Guitarist,1,1,Rattata,,,,,
437,Idol,1,1,Rattata,,,,,
438,Idol,1,1,Rattata,,,,,
439,Idol,1,1,Rattata,,,,,
440,Idol,1,1,Rattata,,,,,
441,Ruin Maniac,1,1,Rattata,,,,,
442,Ruin Maniac Harry,3,7,Bronzor,Bronzor,Bronzor,,,
443,Ruin Maniac Gerald,2,7,Geodude,Bronzor,,,,
444,Black Belt Miles,1,33,Machamp,,,,,
445,Black Belt Kendal,1,33,Toxicroak,,,,,
446,Black Belt Eddie,3,33,Mankey,Machoke,Infernape,,,
447,Black Belt Willie,2,33,Heracross,Machamp,,,,
448,Socialite,1,1,Rattata,,,,,
449,Lass,1,1,Rattata,,,,,
450,Lass Cassidy,1,1,Buneary,,,,,
451,Hiker Theodore,2,33,Onix,Onix,,,,
452,Hiker Damon,3,33,Nosepass,Onix,Steelix,,,
453,Hiker Maurice,2,33,Graveler,Rhyhorn,,,,
454,Hiker Reginald,2,33,Geodude,Geodude,,,,
455,Hiker Lorenzo,1,33,Onix,,,,,
456,Picnicker Karina,1,7,Piplup,,,,,
457,Picnicker Summer,1,7,Raichu,,,,,
458,Picnicker Tori,1,7,Psyduck,,,,,
459,Picnicker Ana,1,7,Hoothoot,,,,,
460,Clown Lee,1,1,MimeJr.,,,,,
461,Clown,1,1,Rattata,,,,,
462,Clown,1,1,Rattata,,,,,
463,Clown,1,1,Rattata,,,,,
464,Clown,1,1,Rattata,,,,,
465,Poke Kid Ariel,3,1,Pichu,Pichu,Pichu,,,
466,Policeman,1,1,Rattata,,,,,
467,Rich Boy,1,1,Rattata,,,,,
468,Rich Boy,1,1,Rattata,,,,,
469,Lady,1,1,Rattata,,,,,
470,Rival,4,7,Staravia,Buizel,Ponyta,Grotle,,
471,Rival,4,7,Staravia,Buizel,Roselia,Monferno,,
472,Rival,4,7,Staravia,Roselia,Ponyta,Prinplup,,
473,Rival,4,7,Staravia,Buizel,Ponyta,Grotle,,
474,Rival,4,7,Staravia,Buizel,Roselia,Monferno,,
475,Rival,4,7,Staravia,Roselia,Ponyta,Prinplup,,
476,Rival,5,7,Staraptor,Floatzel,Heracross,Rapidash,Torterra,
477,Rival,5,7,Staraptor,Floatzel,Heracross,Roserade,Infernape,
478,Rival,5,7,Staraptor,Roserade,Heracross,Rapidash,Empoleon,
479,Rival,6,7,Staraptor,Floatzel,Heracross,Rapidash,Snorlax,Torterra
480,Rival,6,7,Staraptor,Floatzel,Heracross,Roserade,Snorlax,Infernape
481,Rival,6,7,Staraptor,Roserade,Heracross,Rapidash,Snorlax,Empoleon
482,Sailor Zachariah,3,1,Pelipper,Machoke,Gastrodon,,,
483,Sailor Samson,3,1,Wingull,Shellos,Golduck,,,
484,School Kid,1,1,Rattata,,,,,
485,School Kid,1,1,Rattata,,,,,
