Trainer ID,Trainer Name,Gender,Pokemon Held,AI Difficulty,Poke1,Poke2,Poke3,Poke4,Poke5,Poke6
265,Camper Curtis,m,2,7,Starly,Shinx,,,,
267,Champion Cynthia,f,6,7,Spiritomb,Roserade,Togekiss,Lucario,Milotic,Garchomp
268,Ace Trainer Sergio,m,2,7,Snover,Sneasel,,,,
269,Ace Trainer Isaiah,m,1,7,Piloswine,,,,,
270,Ace Trainer Savannah,f,3,7,Snorunt,Snorunt,Glalie,,,
271,Ace Trainer Alicia,f,2,7,Sneasel,Sneasel,,,,
272,Collector Douglas,m,3,1,Jolteon,Vaporeon,Flareon,,,
273,Collector Brady,m,6,1,Skorupi,Tangela,Yanma,Carnivine,Croagunk,Tropius
274,Collector Ivan,m,1,1,Togetic,,,,,
275,Collector Fernando,m,1,1,Heracross,,,,,
276,Collector Edwin,m,1,1,Munchlax,,,,,
277,Dragon Tamer Hayden,m,2,7,Altaria,Seadra,,,,
278,Ace Trainer Dennis,m,3,7,Gligar,Buizel,Drifblim,,,
279,Ace Trainer Cesar,m,1,7,Scizor,,,,,
280,Ace Trainer Allen,m,3,7,Gastly,Gastly,Haunter,,,
281,Ace Trainer Zachery,m,2,7,Electabuzz,Magneton,,,,
282,Ace Trainer Ruben,m,2,7,Nuzleaf,Gyarados,,,,
283,Ace Trainer Breanna,f,3,7,Bronzor,Bronzor,Bronzor,,,
284,Ace Trainer Catherine,f,2,7,Haunter,Misdreavus,,,,
285,Ace Trainer Destiny,f,2,7,Electabuzz,Raichu,,,,
286,Ace Trainer Jamie,m,1,7,Metagross,,,,,
287,Ace Trainer Maya,f,3,7,Roselia,Ralts,Lickitung,,,
288,Psychic Maxwell,m,2,5,Misdreavus,Haunter,,,,
289,Psychic Brittney,f,2,5,Drowzee,Alakazam,,,,
290,Belle & Pa Ava & Matt,n,2,1,Ponyta,Rapidash,,,,
292,Rancher Marco,m,1,1,Ponyta,,,,,
293,Fisherman Erick,m,3,1,Goldeen,Seaking,Gyarados,,,
294,Twins Emma & Lil,f,2,1,Bonsly,MimeJr.,,,,
295,Commander Mars,f,2,7,Zubat,Purugly,,,,
296,Galactic Grunt,n,1,1,Stunky,,,,,
297,Galactic Grunt,n,2,1,Zubat,Zubat,,,,
298,Galactic Grunt,n,1,1,Zubat,,,,,
299,Galactic Grunt,n,2,1,Glameow,Stunky,,,,
300,Guitarist Tony,m,2,1,Kricketune,Magnemite,,,,
301,Guitarist Jerry,m,3,1,Magnemite,Luxio,Luxio,,,
302,Guitarist Preston,m,2,1,Luxio,Luxio,,,,
303,Guitarist Lonnie,m,1,1,Raichu,,,,,
304,Ruin Maniac Calvin,m,2,7,Bronzor,Shieldon,,,,
305,Ruin Maniac Larry,m,1,7,Aerodactyl,,,,,
306,Jogger Wyatt,m,1,1,Pikachu,,,,,
307,Jogger Craig,m,2,1,Luxio,Luxio,,,,
308,Jogger Raul,m,1,1,Staravia,,,,,
309,Black Belt Colby,m,3,33,Machoke,Machoke,Machoke,,,
310,Black Belt Darren,m,3,33,Machop,Meditite,Machoke,,,
311,Black Belt Rafael,m,2,33,Croagunk,Machoke,,,,
312,Black Belt Jeffery,m,1,33,Heracross,,,,,
313,Black Belt Carl,m,2,33,Tyrogue,Hitmonlee,,,,
314,Black Belt Ricky,m,1,33,Steelix,,,,,
315,Gym Leader Gardenia,f,3,7,Turtwig,Cherrim,Roserade,,,
316,Gym Leader Wake,m,3,7,Gyarados,Quagsire,Floatzel,,,
317,Gym Leader Maylene,f,3,7,Meditite,Machoke,Lucario,,,
318,Gym Leader Fantina,f,3,7,Duskull,Haunter,Mismagius,,,
319,Gym Leader Candice,f,4,7,Sneasel,Piloswine,Abomasnow,Froslass,,
320,Gym Leader Volkner,m,4,7,Jolteon,Raichu,Luxray,Electivire,,
322,Lass Madeline,f,1,5,Psyduck,,,,,
323,Lass Kaitlin,f,4,5,Bidoof,Budew,Starly,Abra,,
324,Lass Caroline,f,2,1,Cherubi,Roselia,,,,
325,Lass Molly,f,1,1,Misdreavus,,,,,
326,Hiker Louis,m,2,33,Geodude,Onix,,,,
327,Parasol Lady Alexa,f,2,1,Goldeen,Bibarel,,,,
328,Parasol Lady Sabrina,f,2,1,Wooper,Quagsire,,,,
329,Picnicker Diana,f,1,7,Bidoof,,,,,
331,Poke Kid Meghan,f,4,1,Pikachu,Pikachu,Pikachu,Pikachu,,
332,Policeman Danny,m,2,1,Hoothoot,Machop,,,,
333,Policeman Thomas,m,2,1,Noctowl,Machoke,,,,
335,Rich Boy Trey,m,1,1,Luxray,,,,,
337,Sailor Marc,m,1,1,Mantyke,,,,,
338,Sailor Skyler,m,2,1,Mantyke,Machoke,,,,
339,Sailor Damian,m,2,1,Wingull,Pelipper,,,,
340,School Kid Chance,m,1,5,Gastly,,,,,
341,School Kid Forrest,m,1,5,Magneton,,,,,
342,School Kid Harrison,m,1,5,Starly,,,,,
343,School Kid Mackenzie,f,2,5,Drifloon,Drifloon,,,,
344,School Kid Tiera,f,1,5,Pachirisu,,,,,
345,School Kid Christine,f,1,5,Bidoof,,,,,
346,Beauty Cyndy,f,1,1,Glameow,,,,,
355,Youngster Dallas,m,1,1,Shinx,,,,,
356,Youngster Sebastian,m,1,1,Machop,,,,,
357,Youngster Donny,m,2,1,Gastly,Drifloon,,,,
358,Tuber Trenton,m,2,1,Shellos,Shellos,,,,
359,Tuber Conner,m,1,1,Remoraid,,,,,
360,Tuber Mariel,f,2,1,Marill,Marill,,,,
361,Tuber Holly,f,1,1,Remoraid,,,,,
362,Veteran Armando,m,3,7,Muk,Mightyena,Lickitung,,,
366,Waitress Kati,f,1,1,Clefairy,,,,,
367,Worker Gerardo,m,2,1,Magnemite,Magnemite,,,,
368,Interviewers Roxy & Oli,n,2,1,Magnemite,Ralts,,,,
369,Cameraman Tevin,m,1,1,Machop,,,,,
370,Reporter Kinsey,f,1,1,Shinx,,,,,
372,Battle Girl Tyler,f,1,33,Medicham,,,,,
373,Bird Keeper Autumn,f,2,1,Murkrow,Xatu,,,,
377,Camper Zackary,m,1,7,Aipom,,,,,
378,Camper Lawrence,m,2,7,Aipom,Floatzel,,,,
379,Camper Diego,m,1,7,Aipom,,,,,
380,Camper Parker,m,2,7,Buizel,Shinx,,,,
381,Collector Dean,m,2,1,Umbreon,Espeon,,,,
382,Collector Jamal,m,1,1,Porygon,,,,,
383,Collector Terry,m,1,1,Gible,,,,,
386,Dragon Tamer Joe,m,2,7,Dratini,Gabite,,,,
388,Ace Trainer Jonah,m,3,7,Quagsire,Staraptor,Hippopotas,,,
389,Ace Trainer Micah,m,2,7,Metang,Ludicolo,,,,
390,Ace Trainer Arthur,m,3,7,Gastrodon,Beedrill,Electrode,,,
392,Ace Trainer Brenda,f,3,7,Lopunny,Kirlia,Medicham,,,
393,Ace Trainer Brandi,f,2,7,Marowak,Kangaskhan,,,,
394,Ace Trainer Clarice,f,3,7,Swalot,Ninetales,Magnezone,,,
395,Psychic Kody,m,1,5,Meditite,,,,,
396,Psychic Landon,m,2,5,Shuppet,Alakazam,,,,
397,Psychic Deandre,m,1,5,Dusknoir,,,,,
398,Psychic Rachael,f,1,5,Psyduck,,,,,
399,Psychic Desiree,f,2,5,Mr.Mime,Mismagius,,,,
400,Psychic Kendra,f,3,5,Chimecho,Haunter,Gengar,,,
401,Fisherman Walter,m,1,1,Whiscash,,,,,
403,Galactic Boss Cyrus,m,3,7,Sneasel,Crobat,Honchkrow,,,
404,Galactic Boss Cyrus,m,5,7,Houndoom,Honchkrow,Crobat,Gyarados,Weavile,
405,Commander Mars,f,3,7,Golbat,Bronzor,Purugly,,,
406,Commander Jupiter,f,2,7,Zubat,Skuntank,,,,
407,Commander Jupiter,f,3,15,Bronzor,Golbat,Skuntank,,,
408,Commander Saturn,m,3,7,Golbat,Bronzor,Toxicroak,,,
409,Commander Saturn,m,3,7,Golbat,Bronzor,Toxicroak,,,
410,Galactic Grunt,n,2,1,Zubat,Stunky,,,,
412,Galactic Grunt,n,1,1,Croagunk,,,,,
414,Galactic Grunt,n,1,1,Stunky,,,,,
415,Galactic Grunt,n,1,1,Glameow,,,,,
416,Galactic Grunt,n,2,1,Houndour,Golbat,,,,
417,Galactic Grunt,n,1,1,Golbat,,,,,
418,Galactic Grunt,n,4,1,Croagunk,Glameow,Stunky,Houndour,,
419,Galactic Grunt,n,1,1,Croagunk,,,,,
420,Galactic Grunt,n,2,1,Stunky,Houndour,,,,
421,Galactic Grunt,n,2,1,Zubat,Glameow,,,,
422,Galactic Grunt,n,1,1,Glameow,,,,,
423,Galactic Grunt,n,3,1,Stunky,Croagunk,Glameow,,,
425,Galactic Grunt,n,2,1,Glameow,Murkrow,,,,
426,Galactic Grunt,n,3,1,Glameow,Golbat,Murkrow,,,
427,Galactic Grunt,n,2,1,Houndour,Glameow,,,,
428,Galactic Grunt,n,1,1,Glameow,,,,,
430,Galactic Grunt,n,2,1,Golbat,Houndour,,,,
431,Guitarist Arturo,m,1,1,Kricketot,,,,,
442,Ruin Maniac Harry,m,3,7,Bronzor,Bronzor,Bronzor,,,
443,Ruin Maniac Gerald,m,2,7,Geodude,Bronzor,,,,
444,Black Belt Miles,m,1,33,Machamp,,,,,
445,Black Belt Kendal,m,1,33,Toxicroak,,,,,
446,Black Belt Eddie,m,3,33,Mankey,Machoke,Infernape,,,
447,Black Belt Willie,m,2,33,Heracross,Machamp,,,,
450,Lass Cassidy,f,1,1,Buneary,,,,,
451,Hiker Theodore,m,2,33,Onix,Onix,,,,
452,Hiker Damon,m,3,33,Nosepass,Onix,Steelix,,,
453,Hiker Maurice,m,2,33,Graveler,Rhyhorn,,,,
454,Hiker Reginald,m,2,33,Geodude,Geodude,,,,
455,Hiker Lorenzo,m,1,33,Onix,,,,,
456,Picnicker Karina,f,1,7,Piplup,,,,,
457,Picnicker Summer,f,1,7,Raichu,,,,,
458,Picnicker Tori,f,1,7,Psyduck,,,,,
459,Picnicker Ana,f,1,7,Hoothoot,,,,,
460,Clown Lee,m,1,1,MimeJr.,,,,,
479,Rival,m,6,7,Staraptor,Floatzel,Heracross,Rapidash,Snorlax,Torterra
482,Sailor Zachariah,m,3,1,Pelipper,Machoke,Gastrodon,,,
483,Sailor Samson,m,3,1,Wingull,Shellos,Golduck,,,
486,Scientist Shaun,m,2,5,Magnemite,Kadabra,,,,
488,Ninja Boy Fabian,m,2,1,Croagunk,Croagunk,,,,
489,Ninja Boy Brennan,m,2,1,Zubat,Skorupi,,,,
490,Ninja Boy Bruce,m,1,1,Stunky,,,,,
491,Beauty Devon,f,3,1,Wormadam,Wormadam,Wormadam,,,
492,Beauty Nicola,f,1,1,Lopunny,,,,,
494,Swimmer Claire,f,1,1,Floatzel,,,,,
496,Youngster Wayne,m,3,1,Staravia,Shellos,Ponyta,,,
497,Tuber Jacky,m,1,1,Bibarel,,,,,
498,Tuber Caitlyn,f,3,1,Azurill,Marill,Azumarill,,,
499,Veteran Terrell,m,3,7,Parasect,Rhydon,Magmar,,,
500,Veteran Brenden,m,3,7,Forretress,Gyarados,Hippowdon,,,
503,Worker Noel,m,2,1,Magnemite,Magnemite,,,,
504,Worker Braden,m,1,1,Steelix,,,,,
505,Worker Brendon,m,3,1,Geodude,Geodude,Machoke,,,
506,Worker Quentin,m,3,1,Magnemite,Machop,Graveler,,,
507,Galactic Grunt,n,1,1,Golbat,,,,,
508,Galactic Grunt,n,2,1,Houndour,Murkrow,,,,
509,Galactic Grunt,n,1,1,Stunky,,,,,
510,Galactic Grunt,n,3,1,Glameow,Murkrow,Croagunk,,,
512,Galactic Grunt,n,2,1,Murkrow,Stunky,,,,
513,Galactic Grunt,n,2,1,Golbat,Golbat,,,,
514,Galactic Grunt,n,2,1,Stunky,Croagunk,,,,
515,Galactic Grunt,n,1,1,Murkrow,,,,,
516,Galactic Grunt,n,3,1,Houndour,Golbat,Houndour,,,
517,Galactic Grunt,n,2,1,Stunky,Golbat,,,,
518,Galactic Grunt,n,3,1,Croagunk,Stunky,Croagunk,,,
519,Galactic Grunt,n,1,1,Golbat,,,,,
520,Galactic Grunt,n,2,1,Glameow,Golbat,,,,
521,Galactic Grunt,n,2,1,Croagunk,Croagunk,,,,
522,Galactic Grunt,n,3,1,Croagunk,Stunky,Glameow,,,
523,Galactic Grunt,n,1,1,Stunky,,,,,
524,Galactic Grunt,n,3,1,Murkrow,Glameow,Murkrow,,,
525,Galactic Grunt,n,2,1,Houndour,Glameow,,,,
526,Galactic Grunt,n,3,1,Golbat,Croagunk,Murkrow,,,
527,Galactic Grunt,n,2,1,Stunky,Glameow,,,,
528,Commander Mars,f,3,15,Bronzor,Golbat,Purugly,,,
529,Roughneck Kirby,m,1,1,Cleffa,,,,,
530,Pokefan Leonard,m,3,1,Pichu,Pichu,Pikachu,,,
531,Pokefan Rebekah,f,1,1,Bonsly,,,,,
532,Youngster Oliver,m,3,1,Mothim,Barboach,Chatot,,,
533,Belle & Pa Beth & Bob,n,2,1,Ponyta,Ponyta,,,,
534,Young Couple Mike & Nat,n,2,1,Murkrow,Misdreavus,,,,
535,Aroma Lady Alison,f,1,5,Roselia,,,,,
536,Artist Ismael,m,1,1,Kricketune,,,,,
537,Pokemon Breeder Kaylee,f,3,1,Aipom,Marill,Swablu,,,
538,Cameraman Darryl,m,2,1,Magnemite,Mr.Mime,,,,
539,Collector Eugene,m,1,1,Feebas,,,,,
540,Pokefan Meredith,f,2,1,Pichu,Pachirisu,,,,
541,PI Kendrick,m,1,17,Rhyhorn,,,,,
542,Gentleman Leonardo,m,1,1,Chatot,,,,,
543,Socialite Rebecca,f,1,1,Purugly,,,,,
544,Lass Blythe,f,2,1,Chingling,Buneary,,,,
545,Rich Boy Roman,m,1,1,Lickitung,,,,,
546,Lady Kylie,f,2,1,Cleffa,Clefairy,,,,
547,Reporter Valerie,f,1,1,Kirlia,,,,,
548,School Kid Esteban,m,1,5,Quagsire,,,,,
549,Scientist Emilio,m,1,5,Kadabra,,,,,
550,Beauty Gabriella,f,1,1,Finneon,,,,,
551,Beauty Harley,f,1,1,Psyduck,,,,,
552,Veteran Emanuel,m,2,7,Machoke,Bronzor,,,,
553,Ruin Maniac Karl,m,3,7,Geodude,Geodude,Bronzor,,,
554,Bird Keeper Audrey,f,3,1,Taillow,Farfetch'd,Pidgeot,,,
555,Bird Keeper Geneva,f,2,1,Fearow,Xatu,,,,
556,Bird Keeper Krystal,f,3,1,Staravia,Fearow,Noctowl,,,
557,Dragon Tamer Geoffrey,m,2,7,Gabite,Altaria,,,,
558,Dragon Tamer Darien,m,1,7,Dragonite,,,,,
559,Dragon Tamer Keegan,m,2,7,Trapinch,Vibrava,,,,
560,Dragon Tamer Stanley,m,2,7,Dratini,Altaria,,,,
561,Dragon Tamer Drake,m,3,7,Gible,Gabite,Dragonair,,,
562,Dragon Tamer Kenny,m,3,7,Bagon,Shelgon,Vibrava,,,
563,Ace Trainer Rodolfo,m,2,7,Starmie,Vibrava,,,,
564,Ace Trainer Saul,m,1,7,Tauros,,,,,
565,Ace Trainer Jose,m,3,7,Golduck,Sandslash,Manectric,,,
566,Ace Trainer Felix,m,2,7,Dusclops,Salamence,,,,
567,Ace Trainer Quinn,m,2,7,Pinsir,Lanturn,,,,
568,Ace Trainer Graham,m,2,7,Tyrogue,Hitmonchan,,,,
569,Ace Trainer Keenan,m,3,7,Primeape,Electabuzz,Banette,,,
570,Ace Trainer Stefan,m,2,7,Pupitar,Torterra,,,,
571,Ace Trainer Skylar,f,3,7,Loudred,Rampardos,Pelipper,,,
572,Ace Trainer Abel,m,2,7,Glalie,Crobat,,,,
573,Ace Trainer Deanna,f,2,7,Flaaffy,Tropius,,,,
574,Ace Trainer Moira,f,3,7,Sandslash,Gastrodon,Claydol,,,
575,Ace Trainer Dana,f,2,7,Mightyena,Kirlia,,,,
